flux_ID,months
1XcNTEsgVND4eb3bsVa2bjktnZZSruVct,1
19S8wu3szFRaBhFgGwfZ4GRE4LUGfvsfNF,1
1NLmneoypsNaw9bJ9HYXE4jyMQUiZWjxA8,6
17xwLLcJXCiKbrQ1zU7titBLaG36iXkNiL,3
0x86ab56d0268bbacc7e800e96de9c40f529a535fa,3
1F21fVFtsVNMfgarwanmmhp5Ugs8cgJvcR,1
17ZBXK3Uxo6jeB8X2nS1qAttyACtDqxiAC,1
1ERk2XFngdHadTX2fxi5Bfy4LnojESwMAG,1
1ELqqFKPXDqccSz2PF8K3hcKYWz9jfpiqv,1
1EvstgpRoQhGanaHfgWp5vJirD4xpCTrAi,12
1H5svB56rfYPeq8u2iYJHvwRSXBoxTAiha,1
1MBXALG5iMSt7JyMHvqk2cxJGDgFJzmbya,1
1AEKikEt7QkSXvBjhKGaHSAeWYaPD6k9RF,1
19dkXvti2TsnmvsdErKDJKnmwgsvRChSDj,1
15zAJFQBy49UjdQBFCaZxv1ahXwJHSs9xy,3
1KMP45dQMPVVhE4gUxLyEZFYvPf3JJ2TT9,1
0xdcee31a6a2e619fd86dec9dda8358368e01f3f82,1
1KuQqBmjWXiW8brhPjXzTAGBuB4zVQ1qbf,3
13BY3Gficsh12KYBYtdX25Xj8kMiP2YFjG,1
1NrXzsTkHALpvEUHBArMTUH8ZD5329kaCv,12
1CaHbdUfn7FV4KSdV3GFEPUpdLmpcXsW2s,1
196GJWyLxzAw3MirTT7Bqs2iGpUQio29GH,3
0x009d4a9522385ec07fbd36f9282dedecf07abb00,1
17fcfNeGZNFaKEFsh1f6rUqk84zvobZX73,1
1MQfaMBjWyB4N8bmYbGgNms5YvLTEBYZ2Q,1
19iFgnDhGNgUkMbk1YLK7SRoYRfdZKmjG4,1
1A1a2RrgMbg2gyPJrJoAGD26JX8JPEP56B,1
1KaUrsy174ekNF3GQvWmAjBierXew1KPzy,12
19fWB1pLNK6z4pPHsXmymQHyatuNzKEwYe,12
1C89Rx7bZbvh72H62YB2jqHiJ11aStpxej,1
1XcNTEsgVND4eb3bsVa2bjktnZZSruVct,1
16CMhx6mzk9DvBhXXtkrtE15X87LeMeqn2,1
1Dx4zoaxjA86ic8Dyaw9y323bLCYJXbyB5,3
0xa6eb732ef6d8a258f2960a553e86c64fb1b347d4,1
16TXUmSGhKexW8Jg6V2srkawMfeq6ETQA9,12
0x19db0558b9716e5db3b4745f11d66f86db333655,1
1Pb1FDnVErmYKZpsfqsDhNio4QijkBgX8b,3
0x2476222f02f7881d95bde20b35d32697b64dc461,1
1NuSxUiofAaoJkkQqFHQRbnwVDu8UrGJ6S,1
1NuSxUiofAaoJkkQqFHQRbnwVDu8UrGJ6S,1
1JSN8sAVCqFjFRfaEGNKtpibAqNmewzJv9,6
1HLhfQ7JpbBMrChscu26trxuz1KGhaYZtC,1
0x93f43b21acab8dcf92850e00072b323c96ae5af6,3
1P9vrRp4MWy1hUXrEdPrnofrZKXEtCRdcP,1
1FAEWxJUzagSPq1BAsdZqcmBtUTimwnWvm,1
0xbd26bc3754571a02dee25c1d08f082a230eb4342,1
1EikSQRrLNDqNQpr2ADH1aenJ9MAyPxih5,1
1MrqBDGp3ytmQyEFoanKup63EZZBNdeC5D,1
