flux_ID,months
1PQtwWHvW95z3qY71NXGsGYSmsmunoSbeW,1
1DaPnc9HrXVSDXyfJvmp91J7xrNZ3LZQW1,1
1CqikV3RmC16P72YHsJcXXqkRd7qTTe4LF,12
19SoE1KTuGgBocE8FW8vv3t4oKtia2mZLH,1
16SMQAK1dEroQyY91qZCkrUGBDMq3PYrxP,3
1EP5DVZSxeFBR4d9SMboDUJBkAGugWcCM5,1
19qFi3XaRKhvqpGEZ9NuAwePhFMv5uB1Ma,1
1PtiqPkwR1eTZPmRCtEjvTaTFJgVhTvq1X,3
196GJWyLxzAw3MirTT7Bqs2iGpUQio29GH,3
196GJWyLxzAw3MirTT7Bqs2iGpUQio29GH,3
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,3
0x683c52d9b913a4cf3192e03ca3340758d3782b9f,3
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,3
1AWrYriyTwZ5fu8vydRtfxYXsnUUeEQeib,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
1GmPq9pRqnAv7wJ9aowzFsqqoTGPxHpJbq,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
17CJgCwu5Urb1z8siyY2rhctPzemmHiaD2,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
0x5d1b730a4f78080057780f8e22b98c7f65a8de35,12
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,3
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,12
1CR5o8errs1toyLPRNygMkC1Lfts2wUDU3,1
1H3hSGWNqyhAeAm1DAfNJQgGnyJGssVe71,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
1ELqqFKPXDqccSz2PF8K3hcKYWz9jfpiqv,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
1GtTwY7qoZBpMKskAjdbYeA9YfaHfvjUET,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
1PtiqPkwR1eTZPmRCtEjvTaTFJgVhTvq1X,3
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,3
0x68b0a7df8b70ad383b4d466a9dd2d4a39b942192,1
0x79ef91a5b34c5d904172c938c2d3ebf3f7e6040f,1
